date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-03-01,2859.09,2907.27,2891.3,2852.49,322848.88,12.63,0.44,2925.606,2889.966,2997.712,411331.94,455151.65,591643.44
2018-02-28,2899.0,2905.57,2878.67,2866.46,387581.34,-48.43,-1.66,2933.722,2895.42,3011.02,425357.67,495984.61,614182.99
2018-02-27,2979.77,2979.77,2927.1,2918.01,462014.34,-46.69,-1.57,2932.346,2910.513,3026.103,398541.03,551926.97,644369.25
2018-02-26,2973.81,2986.81,2973.79,2933.52,502140.28,16.62,0.56,2917.47,2929.552,3038.573,399382.59,604372.16,672114.49
2018-02-23,2941.42,2966.75,2957.17,2926.36,382074.88,25.29,0.86,2883.754,2950.307,3046.4,391534.54,625765.48,685740.4
2018-02-22,2915.97,2936.85,2931.88,2900.87,392977.53,60.09,2.09,2854.326,2969.554,3054.432,498971.36,640459.43,714114.3
2018-02-14,2859.87,2877.04,2871.79,2841.24,253498.14,19.07,0.67,2857.118,2990.489,3063.166,566611.55,673354.97,738318.89
2018-02-13,2834.39,2887.89,2852.72,2834.39,466222.12,47.51,1.69,2888.68,3014.993,3073.385,705312.91,703612.55,771177.15
2018-02-12,2803.86,2823.81,2805.21,2776.96,462900.03,-4.82,-0.17,2941.634,3037.633,3083.942,809361.73,711266.29,779997.28
2018-02-09,2857.43,2871.54,2810.03,2724.59,919259.0,-135.81,-4.61,3016.86,3069.182,3096.122,859996.43,737896.5,789346.69
2018-02-08,2998.6,3019.27,2945.84,2911.4,731178.44,-83.76,-2.77,3084.782,3105.457,3106.551,781947.5,728135.23,762467.88
2018-02-07,3147.32,3166.7,3029.6,3020.39,947004.94,-87.89,-2.82,3123.86,3126.619,3109.111,780098.39,732381.36,747084.87
2018-02-06,3114.35,3140.03,3117.49,3094.49,986466.25,-63.85,-2.01,3141.306,3141.692,3107.409,701912.2,736811.54,728616.55
2018-02-05,3098.67,3181.59,3181.34,3095.99,716073.5,31.7,1.01,3133.632,3147.593,3100.0,613170.84,739856.81,699587.76
2018-02-02,3113.3,3150.7,3149.64,3082.99,529014.38,8.41,0.27,3121.504,3142.492,3088.321,615796.56,745715.31,692810.48
2018-02-01,3120.13,3141.77,3141.23,3101.34,721932.88,24.4,0.78,3126.132,3139.31,3077.457,674322.96,787769.18,691331.43
2018-01-31,3063.23,3118.76,3116.83,3062.53,556074.0,37.71,1.23,3129.378,3135.842,3066.37,684664.34,803282.81,676995.14
2018-01-30,3109.19,3127.75,3079.12,3077.31,542759.44,-41.58,-1.33,3142.078,3131.777,3056.191,771710.88,838741.74,673294.88
2018-01-29,3184.3,3197.84,3120.7,3107.96,729202.12,-52.08,-1.64,3161.554,3130.251,3047.672,866542.79,848728.27,673161.24
2018-01-26,3147.48,3195.07,3172.78,3147.48,821646.38,15.32,0.48,3163.48,3123.062,3034.659,875634.06,840796.88,651016.83
2018-01-25,3171.35,3177.41,3157.46,3124.46,773639.75,-22.87,-0.72,3152.488,3107.644,3018.972,901215.39,796800.54,627110.26
2018-01-24,3189.77,3202.47,3180.33,3150.55,991306.69,3.83,0.12,3142.306,3091.602,3003.081,921901.29,761788.38,604497.61
2018-01-23,3145.11,3177.76,3176.5,3144.28,1016919.0,46.17,1.48,3121.476,3073.125,2988.781,905772.61,720421.56,568432.78
2018-01-22,3104.96,3144.85,3130.33,3104.4,774658.5,12.51,0.4,3098.948,3052.407,2973.961,830913.75,659318.7,530743.88
2018-01-19,3122.67,3145.99,3117.82,3100.41,949553.0,11.27,0.36,3082.644,3034.15,2961.483,805959.69,639905.64,501489.4
2018-01-18,3096.2,3125.86,3106.55,3084.28,877069.25,30.37,0.99,3062.8,3015.604,2950.361,692385.68,594893.69,466902.53
2018-01-17,3071.5,3132.99,3076.18,3060.22,910663.31,12.32,0.4,3040.898,2996.897,2939.015,601675.48,550707.48,437278.13
2018-01-16,3041.36,3065.19,3063.86,3035.77,642624.69,15.05,0.49,3024.774,2980.605,2928.858,535070.51,507848.01,403639.54
2018-01-15,3027.2,3070.94,3048.81,3022.47,649888.19,30.21,1.0,3005.866,2965.092,2917.118,487723.64,497594.21,381859.6
2018-01-12,2997.9,3019.7,3018.6,2993.56,381682.97,21.56,0.72,2985.656,2946.255,2905.686,473851.59,461236.79,362698.9
2018-01-11,2986.79,3009.99,2997.04,2981.33,423518.22,1.48,0.05,2968.408,2930.3,2897.258,497401.69,457419.98,354998.11
2018-01-10,2968.34,2999.75,2995.56,2966.18,577638.5,26.24,0.88,2952.896,2914.559,2891.053,499739.47,447206.83,345013.02
2018-01-09,2947.55,2972.43,2969.32,2947.12,405890.34,21.56,0.73,2936.436,2904.437,2883.785,480625.51,416444.0,329174.36
2018-01-08,2933.82,2952.34,2947.76,2926.87,580527.94,15.4,0.53,2924.318,2895.515,2880.274,507464.78,402169.07,323223.72
2018-01-05,2926.78,2940.18,2932.36,2920.08,499433.47,12.88,0.44,2906.854,2888.816,2876.153,448621.99,363073.15,306879.79
2018-01-04,2918.26,2934.15,2919.48,2910.66,435207.12,6.22,0.21,2892.192,2885.117,2871.98,417438.26,338911.37,295878.38
2018-01-03,2914.28,2947.63,2913.26,2906.6,482068.66,4.53,0.16,2876.222,2881.133,2869.792,394674.18,323848.78,289964.96
2018-01-02,2867.53,2912.27,2908.73,2867.53,540086.69,48.29,1.69,2872.438,2877.11,2869.653,352262.49,299431.08,295661.52
2017-12-29,2861.92,2876.19,2860.44,2849.68,286314.0,1.39,0.05,2866.712,2869.143,2867.285,296873.36,266124.98,282113.13
2017-12-28,2842.73,2870.89,2859.05,2829.54,343514.81,19.42,0.68,2870.778,2865.116,2866.372,277524.32,264161.0,283192.35
2017-12-27,2886.7,2889.31,2839.63,2832.02,321386.75,-54.71,-1.89,2878.042,2864.216,2866.592,260384.48,252576.24,283917.7
2017-12-26,2878.75,2897.62,2894.34,2868.6,270010.22,14.24,0.49,2886.044,2867.547,2869.274,253023.37,242819.21,285850.98
2017-12-25,2882.28,2915.61,2880.1,2868.86,263141.0,-0.67,-0.02,2881.782,2863.133,2869.413,246599.66,241904.72,287697.33
2017-12-22,2891.72,2897.03,2880.77,2876.02,189568.8,-14.6,-0.5,2871.574,2865.033,2871.273,235376.61,244278.37,299633.88
2017-12-21,2871.68,2906.81,2895.37,2862.23,257815.61,15.73,0.55,2859.454,2863.49,2874.076,250797.69,250686.42,312868.58
2017-12-20,2874.05,2887.23,2879.64,2861.54,284581.22,6.61,0.23,2850.39,2858.842,2876.344,244768.0,252845.39,333473.3
2017-12-19,2829.55,2873.6,2873.03,2827.44,237891.69,43.97,1.55,2849.05,2858.451,2882.98,232615.06,256081.15,356522.1
2017-12-18,2821.42,2842.81,2829.06,2815.82,207025.73,8.89,0.32,2844.484,2862.196,2888.687,237209.78,291891.95,376451.86
2017-12-15,2844.1,2846.52,2820.17,2817.32,266674.19,-29.88,-1.05,2858.492,2865.426,2894.292,253180.13,298101.28,388020.96
2017-12-14,2874.95,2878.32,2850.05,2841.92,227667.19,-22.89,-0.8,2867.526,2867.627,2900.223,250575.15,302223.71,408923.26
2017-12-13,2850.47,2879.41,2872.94,2834.93,223816.48,22.74,0.8,2867.294,2868.967,2901.691,260922.77,315259.17,413565.81
2017-12-12,2897.66,2900.27,2850.2,2849.39,260865.31,-48.9,-1.69,2867.852,2871.001,2900.546,279547.24,328882.76,418862.09
2017-12-11,2862.61,2900.17,2899.1,2857.98,286877.5,33.76,1.18,2879.908,2875.692,2901.107,346574.13,333489.93,423837.41
2017-12-08,2843.2,2872.82,2865.34,2832.8,253649.27,16.45,0.58,2872.36,2877.513,2899.828,343022.43,354989.38,433723.06
2017-12-07,2868.2,2875.74,2848.89,2828.23,279405.28,-26.84,-0.93,2867.728,2884.662,2899.678,353872.26,375050.75,443139.76
2017-12-06,2897.23,2897.23,2875.73,2845.13,316938.84,-34.75,-1.19,2870.64,2893.846,2898.881,369595.56,414101.21,445521.61
2017-12-05,2852.82,2922.33,2910.48,2851.32,595999.75,49.12,1.72,2874.15,2907.509,2896.093,378218.27,456963.06,452058.94
2017-12-04,2829.81,2868.29,2861.36,2823.94,269119.0,19.18,0.68,2871.476,2915.178,2891.667,320405.74,461011.76,446943.09
2017-12-01,2861.9,2867.11,2842.18,2834.26,307898.44,-21.27,-0.74,2882.666,2923.157,2888.21,366956.33,477940.63,450121.59
2017-11-30,2878.53,2895.53,2863.45,2850.31,358021.78,-29.83,-1.03,2901.596,2932.819,2886.124,396229.24,515622.81,454179.75
2017-11-29,2905.33,2914.07,2893.28,2855.85,360052.38,-3.83,-0.13,2917.052,2934.414,2882.657,458606.86,511872.46,455042.1
2017-11-28,2900.08,2908.36,2897.11,2872.53,306937.09,-20.2,-0.69,2940.868,2930.091,2877.463,535707.84,508841.43,460141.54
2017-11-27,2928.36,2928.86,2917.31,2885.6,501871.97,-19.52,-0.67,2958.88,2926.522,2872.293,601617.79,514184.88,460979.87
2017-11-24,2934.45,2949.79,2936.83,2907.1,454262.97,-3.9,-0.13,2963.648,2922.142,2866.883,588924.93,512456.73,459888.72
2017-11-23,3003.78,3018.26,2940.73,2919.65,669909.88,-71.63,-2.38,2964.042,2914.693,2860.755,635016.38,511228.77,457326.54
2017-11-22,3001.95,3038.28,3012.36,2989.82,745557.31,25.19,0.84,2951.776,2903.916,2852.27,565138.06,476942.02,444567.64
2017-11-21,2928.92,3012.89,2987.17,2927.61,636486.81,46.02,1.56,2919.314,2884.676,2839.259,481975.01,447154.82,417113.14
2017-11-20,2916.74,2942.14,2941.15,2897.2,438407.66,2.35,0.08,2894.164,2868.155,2827.583,426751.97,432874.42,397724.21
2017-11-17,2868.52,2940.77,2938.8,2867.59,684720.25,59.4,2.06,2880.636,2853.262,2817.244,435988.54,422302.56,385576.85
2017-11-16,2840.36,2880.98,2879.4,2840.36,320518.25,29.35,1.03,2865.344,2839.429,2807.186,387441.16,392736.69,359390.04
2017-11-15,2848.77,2864.37,2850.05,2839.46,329742.09,-11.37,-0.4,2856.056,2830.899,2801.018,388745.97,398211.74,357673.07
2017-11-14,2876.75,2882.79,2861.42,2853.78,360371.59,-12.09,-0.42,2850.038,2824.834,2796.166,412334.62,411441.66,355316.37
2017-11-13,2865.78,2885.7,2873.51,2865.72,484590.5,11.17,0.39,2842.146,2818.063,2789.272,438996.86,407774.87,346287.7
2017-11-10,2828.12,2867.06,2862.34,2827.74,441983.38,29.38,1.04,2825.888,2811.623,2781.928,408616.58,407320.7,334846.12
2017-11-09,2814.57,2834.51,2832.96,2809.96,327042.31,13.0,0.46,2813.514,2806.816,2774.48,398032.22,403424.32,322383.66
2017-11-08,2818.67,2846.3,2819.96,2811.11,447685.31,-2.0,-0.07,2805.742,2800.624,2768.75,407677.5,412193.27,317992.98
2017-11-07,2794.19,2832.14,2821.96,2792.7,493682.81,29.74,1.06,2799.63,2793.842,2763.128,410548.7,387071.47,307907.96
2017-11-06,2798.47,2798.47,2792.22,2776.95,332689.09,-8.25,-0.29,2793.98,2787.011,2756.807,376552.88,362574.01,298211.18
2017-11-03,2789.54,2803.31,2800.47,2770.12,389061.59,6.37,0.23,2797.358,2781.226,2751.8,406024.82,348851.14,302321.37
2017-11-02,2788.11,2796.43,2794.1,2771.15,375268.69,4.7,0.17,2800.118,2774.943,2745.393,408816.41,326043.4,292970.63
2017-11-01,2795.19,2816.3,2789.4,2782.06,462041.31,-4.31,-0.15,2795.506,2771.137,2738.752,416709.05,317134.4,285038.13
2017-10-31,2795.54,2797.79,2793.71,2785.16,323703.72,-15.4,-0.55,2788.054,2767.498,2732.359,363594.23,299191.09,271965.39
